Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/07/2017,Completed,08/07/2017,17-05251065,Graffiti Removal,Metal - Painted,Door,7125 S MAPLEWOOD AVE,60629,1160606.3195708,1857319.79946719,18,8,66,14,41.76386983154280,-87.68674560999160,"(41.763869831543, -87.686745609992)"
08/05/2017,Completed,08/07/2017,17-05196842,Graffiti Removal,Wood - Painted,Front,4409 N ARTESIAN AVE,60625,1159245.97991312,1929206.66469635,47,19,4,21,41.96162484771540,-87.68976961706610,"(41.961624847715, -87.689769617066)"
08/07/2017,Completed,08/07/2017,17-05248568,Graffiti Removal,Metal - Painted,Dumpster,1557 W 13TH ST,60608,1166057.81087376,1894135.42000548,28,12,28,,41.86497176596720,-87.66623577475540,"(41.864971765967, -87.666235774755)"
08/07/2017,Completed,08/07/2017,17-05246644,Graffiti Removal,Metal - Painted,Dumpster,3510 N KEDZIE AVE,60618,1154428.449525,1923227.687975,35,17,21,,41.94515063717330,-87.70793142018660,"(41.945150637173, -87.707931420187)"
08/05/2017,Completed - Dup,08/07/2017,17-05201961,Graffiti Removal,Other/Unknown Surface,Garbage Cart,2301 W SUNNYSIDE AVE,60625,1160210.11016623,1929833.54508122,47,19,4,21,41.96306063501600,-87.68636754917810,"(41.963060635016, -87.686367549178)"
08/05/2017,Completed,08/07/2017,17-05194517,Graffiti Removal,Aluminum Siding,Alley,2520 N KILBOURN AVE,60639,1145958.36982059,1916551.22010653,31,25,20,,41.92705533134070,-87.73923689278470,"(41.927055331341, -87.739236892785)"
08/05/2017,Completed,08/07/2017,17-05197380,Graffiti Removal,Metal - Painted,Door,2306 W MOFFAT ST,60647,1160680.44779372,1912316.97737679,32,14,22,33,41.91512917985400,-87.68526200202440,"(41.915129179854, -87.685262002024)"
08/05/2017,Completed,08/07/2017,17-05203102,Graffiti Removal,Other/Unknown Surface,Alley,6841 W 57TH ST,60638,1131653.63100375,1865982.0165813,13,8,56,,41.78838364548610,-87.79305432924630,"(41.788383645486, -87.793054329246)"
08/07/2017,Completed,08/07/2017,17-05249942,Graffiti Removal,Brick - Unpainted,Side,5103 S CICERO AVE,60632,1145222.56478353,1870370.20420231,14,8,56,,41.80018308981580,-87.74280941209150,"(41.800183089816, -87.742809412091)"
08/07/2017,Completed,08/07/2017,17-05245737,Graffiti Removal,Metal - Painted,Garage,3637 S DAMEN AVE,60609,1163616.43658405,1880558.68722658,12,9,59,,41.82745823204980,-87.6750569817486,"(41.82745823205, -87.675056981749)"
08/07/2017,Completed,08/07/2017,17-05246542,Graffiti Removal,Glass,Front,3043 W CORTLAND ST,60647,1155547.63950118,1912462.78827917,1,14,22,,41.9154912632924,-87.7040470253293,"(41.915491263292, -87.704047025329)"
08/07/2017,Completed,08/07/2017,17-05246712,Graffiti Removal,Metal - Painted,Side,3432 W DIVERSEY AVE,60647,1153027.5422164,1918409.79879857,35,14,21,,41.93206656244430,-87.71350554424400,"(41.932066562444, -87.713505544244)"
08/04/2017,Completed,08/07/2017,17-05179285,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,1760 N TALMAN AVE,60647,1158420.83777293,1911835.28536811,1,14,24,,41.91375726435640,-87.69356772905560,"(41.913757264356, -87.693567729056)"
08/07/2017,Completed,08/07/2017,17-05250612,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2504 W CERMAK RD,60608,1160070.81059728,1889322.38353334,28,10,30,,41.85211819715290,-87.68816860287310,"(41.852118197153, -87.688168602873)"
08/06/2017,Completed,08/07/2017,17-05213726,Graffiti Removal,Metal - Painted,Front,2774 N MILWAUKEE AVE,60647,1153460.0422164,1918252.69879857,35,14,22,,41.93152747821050,-87.7116712244413,"(41.931527478211, -87.711671224441)"
08/07/2017,Completed,08/07/2017,17-05245518,Graffiti Removal,Brick - Painted,Garage,3604 W 62ND PL,60629,1153364.97189462,1862930.84012791,23,8,65,,41.77982849557780,-87.7134562345124,"(41.779828495578, -87.713456234512)"
