index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
17-05251065,08/07/2017,Completed,08/07/2017,Metal - Painted,Door,7125 S MAPLEWOOD AVE,60629,18,8,66,41.7638698315428,-87.68674560999159,"(41.763869831543, -87.686745609992)"
17-05196842,08/05/2017,Completed,08/07/2017,Wood - Painted,Front,4409 N ARTESIAN AVE,60625,47,19,4,41.9616248477154,-87.68976961706609,"(41.961624847715, -87.689769617066)"
17-05248568,08/07/2017,Completed,08/07/2017,Metal - Painted,Dumpster,1557 W 13TH ST,60608,28,12,28,41.864971765967205,-87.6662357747554,"(41.864971765967, -87.666235774755)"
17-05246644,08/07/2017,Completed,08/07/2017,Metal - Painted,Dumpster,3510 N KEDZIE AVE,60618,35,17,21,41.94515063717329,-87.7079314201866,"(41.945150637173, -87.707931420187)"
17-05194517,08/05/2017,Completed,08/07/2017,Aluminum Siding,Alley,2520 N KILBOURN AVE,60639,31,25,20,41.9270553313407,-87.7392368927847,"(41.927055331341, -87.739236892785)"
17-05197380,08/05/2017,Completed,08/07/2017,Metal - Painted,Door,2306 W MOFFAT ST,60647,32,14,22,41.915129179854,-87.6852620020244,"(41.915129179854, -87.685262002024)"
17-05203102,08/05/2017,Completed,08/07/2017,Other/Unknown Surface,Alley,6841 W 57TH ST,60638,13,8,56,41.7883836454861,-87.79305432924629,"(41.788383645486, -87.793054329246)"
17-05249942,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Side,5103 S CICERO AVE,60632,14,8,56,41.800183089815796,-87.7428094120915,"(41.800183089816, -87.742809412091)"
17-05245737,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,3637 S DAMEN AVE,60609,12,9,59,41.8274582320498,-87.6750569817486,"(41.82745823205, -87.675056981749)"
17-05246542,08/07/2017,Completed,08/07/2017,Glass,Front,3043 W CORTLAND ST,60647,1,14,22,41.915491263292395,-87.7040470253293,"(41.915491263292, -87.704047025329)"
17-05246712,08/07/2017,Completed,08/07/2017,Metal - Painted,Side,3432 W DIVERSEY AVE,60647,35,14,21,41.9320665624443,-87.713505544244,"(41.932066562444, -87.713505544244)"
17-05179285,08/04/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,1760 N TALMAN AVE,60647,1,14,24,41.9137572643564,-87.6935677290556,"(41.913757264356, -87.693567729056)"
17-05250612,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2504 W CERMAK RD,60608,28,10,30,41.8521181971529,-87.68816860287309,"(41.852118197153, -87.688168602873)"
17-05213726,08/06/2017,Completed,08/07/2017,Metal - Painted,Front,2774 N MILWAUKEE AVE,60647,35,14,22,41.931527478210505,-87.7116712244413,"(41.931527478211, -87.711671224441)"
17-05245518,08/07/2017,Completed,08/07/2017,Brick - Painted,Garage,3604 W 62ND PL,60629,23,8,65,41.779828495577796,-87.7134562345124,"(41.779828495578, -87.713456234512)"
17-05210417,08/06/2017,Completed,08/07/2017,Metal - Painted,Mail Box,5454 S KILDARE AVE,60632,23,8,62,41.7933403328148,-87.730665926182,"(41.793340332815, -87.730665926182)"
17-05143745,08/03/2017,Completed,08/07/2017,Brick - Painted,Side,3474 S ARCHER AVE,60608,12,9,59,41.830794698171,-87.67723257138651,"(41.830794698171, -87.677232571387)"
17-05215064,08/06/2017,Completed,08/07/2017,Glass,Door,3109 W ARMITAGE AVE,60647,1,14,22,41.9172992839814,-87.70570366678609,"(41.917299283981, -87.705703666786)"
17-05248859,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,825 E 63RD ST,60637,20,3,42,41.780316415848105,-87.6047981259848,"(41.780316415848, -87.604798125985)"
17-05243933,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,832 W MADISON ST,60607,27,12,28,41.8818703664937,-87.6485931390367,"(41.881870366494, -87.648593139037)"
17-05246282,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,3725 W 49TH ST,60632,14,8,57,41.804184350141604,-87.71719818725201,"(41.804184350142, -87.717198187252)"
17-05215385,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,2628 N MILWAUKEE AVE,60647,35,14,22,41.929460754541395,-87.70827491636379,"(41.929460754541, -87.708274916364)"
17-05246324,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,3729 W 49TH ST,60632,14,8,57,41.8041817976789,-87.71740698626431,"(41.804181797679, -87.717406986264)"
17-05177463,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Alley,5915 S FRANCISCO AVE,60629,16,8,66,41.7858821690324,-87.69587204951219,"(41.785882169032, -87.695872049512)"
17-05174534,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Front,1935 W BELMONT AVE,60657,32,19,5,41.9394737235658,-87.67732856272221,"(41.939473723566, -87.677328562722)"
17-05250584,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,4750 S WESTERN AVE,60609,15,9,58,41.8069101468153,-87.68452688789829,"(41.806910146815, -87.684526887898)"
17-05246631,08/07/2017,Completed,08/07/2017,Metal - Painted,Front,3244 N MILWAUKEE AVE,60618,30,17,21,41.93998758150449,-87.7255469363881,"(41.939987581505, -87.725546936388)"
17-05245618,08/07/2017,Completed,08/07/2017,Brick - Painted,Garage,3640 S SEELEY AVE,60609,12,9,59,41.8273280565963,-87.67656606977671,"(41.827328056596, -87.676566069777)"
17-05170852,08/04/2017,Completed,08/07/2017,Brick - Painted,Front,2940 W 59TH ST,60629,16,8,63,41.7864509910477,-87.69765498005621,"(41.786450991048, -87.697654980056)"
17-05216690,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1605 W BLACKHAWK ST,60622,1,14,24,41.90691457495429,-87.6678032342366,"(41.906914574954, -87.667803234237)"
17-05224992,08/06/2017,Completed,08/07/2017,Aluminum Siding,Garage,2414 N LINDER AVE,60639,30,25,19,41.9244961775547,-87.7636924152857,"(41.924496177555, -87.763692415286)"
17-05164026,08/04/2017,Completed,08/07/2017,Metal - Painted,Dumpster,4207 W 63RD ST,60629,23,8,65,41.7784850286706,-87.7279774719489,"(41.778485028671, -87.727977471949)"
17-05226192,08/06/2017,Completed,08/07/2017,Brick - Painted,Rear,1146 W 18TH ST,60608,25,12,31,41.8580830846878,-87.65524598985078,"(41.858083084688, -87.655245989851)"
17-05245548,08/07/2017,Completed,08/07/2017,Metal - Painted,Front,2523 S SPAULDING AVE,60623,12,10,30,41.8455883235619,-87.7073604000948,"(41.845588323562, -87.707360400095)"
17-05246856,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Rear,4224 W BELMONT AVE,60641,30,17,16,41.9391240715986,-87.7331242362446,"(41.939124071599, -87.733124236245)"
17-05181119,08/04/2017,Completed,08/07/2017,Metal - Painted,Alley,4541 N LEAVITT ST,60625,47,19,4,41.9644193689349,-87.68377118613571,"(41.964419368935, -87.683771186136)"
17-05220853,08/06/2017,Completed,08/07/2017,Wood - Unpainted,Bench,1801 N RIDGEWAY AVE,60647,26,25,22,41.9138983629029,-87.7202062798169,"(41.913898362903, -87.720206279817)"
17-05173394,08/04/2017,Completed,08/07/2017,Wood - Painted,Garage,2518 N KILBOURN AVE,60639,31,25,20,41.9269868725251,-87.7392345625261,"(41.926986872525, -87.739234562526)"
17-05182449,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Side,2906 W BERTEAU AVE,60618,33,17,16,41.957694091242104,-87.70113397577221,"(41.957694091242, -87.701133975772)"
17-05213474,08/06/2017,Completed,08/07/2017,Glass,Front,2765 N MILWAUKEE AVE,60647,35,14,22,41.931503113421996,-87.7111700147562,"(41.931503113422, -87.711170014756)"
17-05216025,08/06/2017,Completed,08/07/2017,Metal - Painted,Pole,2682 N HALSTED ST,60614,43,19,7,41.93131961100409,-87.6491107925143,"(41.931319611004, -87.649110792514)"
17-05193991,08/05/2017,Completed,08/07/2017,Other/Unknown Surface,Fence,432 E ILLINOIS ST,60611,42,18,8,41.8911845624869,-87.6163889656131,"(41.891184562487, -87.616388965613)"
17-05245551,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,5759 S FAIRFIELD AVE,60629,16,8,63,41.788341441268095,-87.69228410857491,"(41.788341441268, -87.692284108575)"
17-05178177,08/04/2017,Completed,08/07/2017,Metal - Painted,Pole,323 E WACKER DR,60601,42,1,32,41.8875560409486,-87.61965509328479,"(41.887556040949, -87.619655093285)"
17-05209110,08/05/2017,Completed,08/07/2017,Metal - Painted,Alley,3019 S KEELER AVE,60623,22,10,30,41.8380644492034,-87.72909864761542,"(41.838064449203, -87.729098647615)"
17-05245590,08/07/2017,Completed,08/07/2017,Wood - Painted,Bench,2600 W THOMAS ST,60622,1,12,24,41.9012593595257,-87.6920332634111,"(41.901259359526, -87.692033263411)"
17-05192297,08/05/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Fence,446 W 25TH PL,60616,11,9,60,41.8461774730224,-87.63871767589309,"(41.846177473022, -87.638717675893)"
